"alpha","boot_id","node","n_mags_b","n_zero","n_positive","n_negative","n_unidentified","any_positive","any_negative","all_zero","all_positive","any_unidentified","min_positive","max_positive"
"0.01",29,"weather_risk_prep",15,15,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",30,"belief_concern",12,12,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",30,"harm_future",12,12,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",30,"harm_present",12,12,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",30,"policy_support",12,12,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",30,"politics",12,12,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",30,"social_norms",12,12,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",30,"trust_science",12,12,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",30,"weather_risk_prep",12,12,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",31,"belief_concern",30,30,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
